Station,Month,Year,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37
BEOGRAD,1,1998,1,"1006,6","1006,6","1005,7","1006,3","14,6","6,9","7,7","4,0","7,4","13,2","8,1","9,2",74,56,82,71,"7,6","8,5","8,9","8,4",SSE,"0,8",SE,"0,8",SSE,"0,8","0,8","6,3",8,4,4,"5,3",.,.,.,
BEOGRAD,1,1998,2,"1001,5","997,1","995,5","998,0","16,2","6,9","9,3","2,6","7,1","13,3","10,2","10,2",74,57,65,65,"7,5","8,8","8,0","8,1",SE,"0,8",SE,"0,8",S,"2,4","1,3","4,6",5,7,3,"5,0",.,.,.,
BEOGRAD,1,1998,3,"996,4","998,0","999,0","997,8","15,2","6,6","8,6","2,8","7,3","13,4","8,1","9,2",75,51,82,69,"7,7","7,9","8,9","8,2",SE,"4,4",NNW,"0,8",SSE,"0,8","2,0","6,6",6,3,0,"3,0",.,.,.,
BEOGRAD,1,1998,4,"997,8","1003,9","1002,8","1001,5","10,7","4,0","6,7","3,3","10,3","9,2","4,8","7,3",64,58,78,67,"8,0","6,7","6,7","7,1",SSE,"0,8",NW,"0,8",S,"2,4","1,3","0,5",7,10,0,"5,7",.,.,.,
BEOGRAD,1,1998,5,"999,4","998,0","1003,0","1000,1","13,6","3,4","10,2","-1,7","4,1","13,5","4,8","6,8",82,50,94,75,"6,7","7,8","8,1","7,5",SSE,"2,4",SSW,"0,8",SSE,"2,4","1,9","0,4",4,5,3,"4,0","4,0",.,.,
BEOGRAD,1,1998,6,"995,6","997,4","1002,8","998,6","13,4","4,6","8,8","0,6","7,9","7,1","6,8","7,2",71,87,91,83,"7,6","8,8","9,0","8,4",S,"4,4",ESE,"0,8",C,"0,0","1,7","1,1",4,9,9,"7,3","4,2",.,.,
BEOGRAD,1,1998,7,"1007,9","1008,0","1009,4","1008,4","10,7","1,6","9,1","-2,3","1,6","9,9","5,8","5,8",78,49,75,67,"5,4","6,0","6,9","6,1",SE,"0,8",SE,"2,4",C,"0,0","1,1","8,2",1,2,0,"1,0","1,8",.,.,
BEOGRAD,1,1998,8,"1011,5","1012,7","1014,0","1012,7","11,5","3,5","8,0","-0,2","6,5","10,9","7,8","8,3",74,67,74,72,"7,2","8,8","7,9","8,0",SSE,"0,8",WNW,"0,8",C,"0,0","0,5","1,1",9,6,0,"5,0",.,.,.,
BEOGRAD,1,1998,9,"1012,7","1012,3","1012,3","1012,4","10,3","3,9","6,4","-0,1","4,5","10,1","8,4","7,9",82,66,69,72,"6,9","8,2","7,6","7,6",SSW,"0,8",W,"0,8",W,"2,4","1,3","3,3",4,10,5,"6,3",.,.,.,
BEOGRAD,1,1998,10,"1013,5","1012,8","1015,0","1013,8","11,7","6,4","5,3","4,9","6,6","11,4","9,5","9,3",78,64,81,74,"7,7","8,6","9,6","8,6",W,"2,4",WNW,"2,4",C,"0,0","1,6","0,5",9,9,10,"9,3",.,.,.,
BEOGRAD,1,1998,11,"1016,2","1014,9","1013,4","1014,8","14,2","5,6","8,6","3,7","5,9","12,6","7,7","8,5",82,51,77,70,"7,6","7,5","8,1","7,7",SE,"0,8",ENE,"0,8",ESE,"2,4","1,3","3,8",9,0,0,"3,0",.,.,.,
